uid,trial,scenario,history,witness,physical,TimedOut,group,rating_type,rating,rt
20000,1,8,relatedPrior,noWitness,DNA,F,mri,rating,37,2.012
20000,1,8,relatedPrior,noWitness,DNA,F,mri,rate_punishment,66,4.727
20000,2,1,unrelatedPrior,noWitness,noPhys,F,mri,rating,0,1.497
20000,2,1,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,63,4.562
20000,3,6,noPrior,noWitness,noPhys,F,mri,rating,0,1.246
20000,3,6,noPrior,noWitness,noPhys,F,mri,rate_punishment,35,3.103
20000,4,19,unrelatedPrior,noWitness,nonDNA,F,mri,rating,45,3.18
20000,4,19,unrelatedPrior,noWitness,nonDNA,F,mri,rate_punishment,54,3.395
20000,5,3,noPrior,isWitness,nonDNA,F,mri,rating,85,2.912
20000,5,3,noPrior,isWitness,nonDNA,F,mri,rate_punishment,41,3.695
20000,6,28,unrelatedPrior,noWitness,DNA,F,mri,rating,55,3.478
20000,6,28,unrelatedPrior,noWitness,DNA,F,mri,rate_punishment,86,4.695
20000,7,33,relatedPrior,isWitness,DNA,F,mri,rating,56,4.214
20000,7,33,relatedPrior,isWitness,DNA,F,mri,rate_punishment,41,2.475
20000,8,23,noPrior,noWitness,nonDNA,F,mri,rating,61,2.629
20000,8,23,noPrior,noWitness,nonDNA,F,mri,rate_punishment,90,2.978
20000,9,5,unrelatedPrior,isWitness,nonDNA,F,mri,rating,91,3.366
20000,9,5,unrelatedPrior,isWitness,nonDNA,F,mri,rate_punishment,76,3.278
20000,10,26,unrelatedPrior,isWitness,nonDNA,F,mri,rating,91,2.947
20000,10,26,unrelatedPrior,isWitness,nonDNA,F,mri,rate_punishment,88,3.524
20000,11,12,relatedPrior,isWitness,nonDNA,F,mri,rating,59,4.297
20000,11,12,relatedPrior,isWitness,nonDNA,F,mri,rate_punishment,45,3.744
20000,12,29,unrelatedPrior,noWitness,noPhys,F,mri,rating,40,4.063
20000,12,29,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,56,4.378
20000,13,2,noPrior,isWitness,nonDNA,F,mri,rating,82,2.228
20000,13,2,noPrior,isWitness,nonDNA,F,mri,rate_punishment,50,2.126
20000,14,17,unrelatedPrior,isWitness,noPhys,F,mri,rating,70,3.594
20000,14,17,unrelatedPrior,isWitness,noPhys,F,mri,rate_punishment,84,3.044
20000,15,24,relatedPrior,isWitness,noPhys,F,mri,rating,57,3.371
20000,15,24,relatedPrior,isWitness,noPhys,F,mri,rate_punishment,57,4.741
20000,16,7,unrelatedPrior,isWitness,nonDNA,F,mri,rating,86,2.862
20000,16,7,unrelatedPrior,isWitness,nonDNA,F,mri,rate_punishment,70,4.493
20000,17,30,relatedPrior,noWitness,DNA,F,mri,rating,71,3.478
20000,17,30,relatedPrior,noWitness,DNA,F,mri,rate_punishment,61,2.828
20000,18,10,unrelatedPrior,isWitness,DNA,F,mri,rating,77,3.013
20000,18,10,unrelatedPrior,isWitness,DNA,F,mri,rate_punishment,74,2.811
20000,19,21,noPrior,noWitness,DNA,T,mri,rating,71,6
20000,19,21,noPrior,noWitness,DNA,T,mri,rate_punishment,88,3.495
20000,20,20,unrelatedPrior,noWitness,noPhys,T,mri,rating,0,6
20000,20,20,unrelatedPrior,noWitness,noPhys,T,mri,rate_punishment,100,2.38
20000,21,16,relatedPrior,noWitness,nonDNA,F,mri,rating,77,2.579
20000,21,16,relatedPrior,noWitness,nonDNA,F,mri,rate_punishment,96,3.559
20000,22,22,noPrior,noWitness,nonDNA,F,mri,rating,57,2.713
20000,22,22,noPrior,noWitness,nonDNA,F,mri,rate_punishment,41,2.561
20000,23,32,noPrior,noWitness,DNA,F,mri,rating,74,3.78
20000,23,32,noPrior,noWitness,DNA,F,mri,rate_punishment,69,2.594
20000,24,27,unrelatedPrior,noWitness,DNA,F,mri,rating,81,2.566
20000,24,27,unrelatedPrior,noWitness,DNA,F,mri,rate_punishment,46,3.693
20000,25,18,relatedPrior,noWitness,DNA,F,mri,rating,47,4.046
20000,25,18,relatedPrior,noWitness,DNA,F,mri,rate_punishment,41,3.579
20000,26,31,noPrior,noWitness,nonDNA,F,mri,rating,64,2.362
20000,26,31,noPrior,noWitness,nonDNA,F,mri,rate_punishment,62,2.364
20000,27,9,relatedPrior,noWitness,noPhys,F,mri,rating,68,2.163
20000,27,9,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,63,2.459
20000,28,25,noPrior,noWitness,noPhys,F,mri,rating,43,3.165
20000,28,25,noPrior,noWitness,noPhys,F,mri,rate_punishment,54,3.562
20000,29,11,unrelatedPrior,isWitness,noPhys,F,mri,rating,61,3.444
20000,29,11,unrelatedPrior,isWitness,noPhys,F,mri,rate_punishment,73,3.993
20000,30,14,unrelatedPrior,isWitness,DNA,F,mri,rating,93,2.746
20000,30,14,unrelatedPrior,isWitness,DNA,F,mri,rate_punishment,79,2.644
20000,31,15,unrelatedPrior,isWitness,DNA,F,mri,rating,58,2.496
20000,31,15,unrelatedPrior,isWitness,DNA,F,mri,rate_punishment,39,3.026
20000,32,4,noPrior,isWitness,DNA,F,mri,rating,61,3.646
20000,32,4,noPrior,isWitness,DNA,F,mri,rate_punishment,56,4.211
20000,33,13,unrelatedPrior,noWitness,nonDNA,F,mri,rating,58,3.628
20000,33,13,unrelatedPrior,noWitness,nonDNA,F,mri,rate_punishment,76,2.377
20007,1,25,unrelatedPrior,noWitness,DNA,F,mri,rating,56,5.493
20007,1,25,unrelatedPrior,noWitness,DNA,F,mri,rate_punishment,41,5.543
20007,2,12,relatedPrior,noWitness,nonDNA,F,mri,rating,68,3.765
20007,2,12,relatedPrior,noWitness,nonDNA,F,mri,rate_punishment,0,2.594
20007,3,26,relatedPrior,isWitness,DNA,T,mri,rating,88,3.464
20007,3,26,relatedPrior,isWitness,DNA,T,mri,rate_punishment,91,6
20007,4,19,unrelatedPrior,isWitness,DNA,F,mri,rating,65,2.813
20007,4,19,unrelatedPrior,isWitness,DNA,F,mri,rate_punishment,58,3.428
20007,5,18,noPrior,noWitness,nonDNA,F,mri,rating,28,3.112
20007,5,18,noPrior,noWitness,nonDNA,F,mri,rate_punishment,59,4.164
20007,6,16,relatedPrior,isWitness,nonDNA,F,mri,rating,41,4.109
20007,6,16,relatedPrior,isWitness,nonDNA,F,mri,rate_punishment,41,4.145
20007,7,22,relatedPrior,isWitness,DNA,F,mri,rating,30,2.461
20007,7,22,relatedPrior,isWitness,DNA,F,mri,rate_punishment,45,2.693
20007,8,17,relatedPrior,isWitness,nonDNA,T,mri,rating,0,6
20007,8,17,relatedPrior,isWitness,nonDNA,T,mri,rate_punishment,48,3.745
20007,9,7,relatedPrior,noWitness,noPhys,F,mri,rating,17,2.212
20007,9,7,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,78,3.243
20007,10,30,relatedPrior,isWitness,noPhys,F,mri,rating,58,4.214
20007,10,30,relatedPrior,isWitness,noPhys,F,mri,rate_punishment,74,4.443
20007,11,33,noPrior,isWitness,noPhys,F,mri,rating,63,4.33
20007,11,33,noPrior,isWitness,noPhys,F,mri,rate_punishment,61,3.976
20007,12,1,relatedPrior,noWitness,DNA,F,mri,rating,59,4.7
20007,12,1,relatedPrior,noWitness,DNA,F,mri,rate_punishment,37,4.726
20007,13,10,noPrior,noWitness,nonDNA,F,mri,rating,67,3.575
20007,13,10,noPrior,noWitness,nonDNA,F,mri,rate_punishment,82,4.884
20007,14,32,unrelatedPrior,noWitness,nonDNA,F,mri,rating,69,3.38
20007,14,32,unrelatedPrior,noWitness,nonDNA,F,mri,rate_punishment,97,4.928
20007,15,6,noPrior,isWitness,DNA,F,mri,rating,75,3.196
20007,15,6,noPrior,isWitness,DNA,F,mri,rate_punishment,19,2.909
20007,16,21,relatedPrior,noWitness,noPhys,F,mri,rating,25,2.828
20007,16,21,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,87,4.71
20007,17,5,noPrior,noWitness,DNA,F,mri,rating,68,4.697
20007,17,5,noPrior,noWitness,DNA,F,mri,rate_punishment,51,2.777
20007,18,27,relatedPrior,noWitness,noPhys,F,mri,rating,10,2.079
20007,18,27,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,26,3.439
20007,19,2,unrelatedPrior,noWitness,nonDNA,F,mri,rating,35,5.312
20007,19,2,unrelatedPrior,noWitness,nonDNA,F,mri,rate_punishment,33,5.128
20007,20,24,unrelatedPrior,isWitness,DNA,F,mri,rating,50,3.366
20007,20,24,unrelatedPrior,isWitness,DNA,F,mri,rate_punishment,40,3.294
20007,21,20,unrelatedPrior,isWitness,noPhys,T,mri,rating,9,2.196
20007,21,20,unrelatedPrior,isWitness,noPhys,T,mri,rate_punishment,64,6
20007,22,15,unrelatedPrior,noWitness,noPhys,F,mri,rating,19,2.646
20007,22,15,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,44,5.126
20007,23,8,relatedPrior,isWitness,nonDNA,F,mri,rating,75,3.43
20007,23,8,relatedPrior,isWitness,nonDNA,F,mri,rate_punishment,54,3.193
20007,24,29,unrelatedPrior,noWitness,DNA,F,mri,rating,56,2.365
20007,24,29,unrelatedPrior,noWitness,DNA,F,mri,rate_punishment,46,4.593
20007,25,11,relatedPrior,noWitness,DNA,F,mri,rating,72,4.561
20007,25,11,relatedPrior,noWitness,DNA,F,mri,rate_punishment,66,3.41
20007,26,3,unrelatedPrior,noWitness,noPhys,F,mri,rating,9,1.895
20007,26,3,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,38,3.345
20007,27,4,noPrior,noWitness,nonDNA,F,mri,rating,48,1.928
20007,27,4,noPrior,noWitness,nonDNA,F,mri,rate_punishment,50,3.227
20007,28,28,relatedPrior,isWitness,noPhys,F,mri,rating,63,2.896
20007,28,28,relatedPrior,isWitness,noPhys,F,mri,rate_punishment,94,4.276
20007,29,14,relatedPrior,isWitness,nonDNA,F,mri,rating,88,2.779
20007,29,14,relatedPrior,isWitness,nonDNA,F,mri,rate_punishment,82,3.944
20007,30,9,noPrior,noWitness,nonDNA,F,mri,rating,53,2.06
20007,30,9,noPrior,noWitness,nonDNA,F,mri,rate_punishment,47,2.843
20007,31,13,unrelatedPrior,noWitness,noPhys,F,mri,rating,45,3.512
20007,31,13,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,30,2.826
20007,32,31,noPrior,noWitness,noPhys,T,mri,rating,20,6
20007,32,31,noPrior,noWitness,noPhys,T,mri,rate_punishment,53,4.877
20007,33,23,unrelatedPrior,noWitness,noPhys,F,mri,rating,28,2.911
20007,33,23,unrelatedPrior,noWitness,noPhys,F,mri,rate_punishment,94,2.653
19968,1,29,unrelatedPrior,isWitness,DNA,T,mri,rating,80,4.195
19968,1,29,unrelatedPrior,isWitness,DNA,T,mri,rate_punishment,39,6
19968,2,24,relatedPrior,isWitness,nonDNA,F,mri,rating,100,2.13
19968,2,24,relatedPrior,isWitness,nonDNA,F,mri,rate_punishment,42,2.111
19968,3,22,unrelatedPrior,noWitness,nonDNA,F,mri,rating,23,1.847
19968,3,22,unrelatedPrior,noWitness,nonDNA,F,mri,rate_punishment,27,3.344
19968,4,1,relatedPrior,noWitness,noPhys,F,mri,rating,13,1.745
19968,4,1,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,11,2.512
19968,5,5,relatedPrior,noWitness,noPhys,F,mri,rating,16,2.247
19968,5,5,relatedPrior,noWitness,noPhys,F,mri,rate_punishment,85,2.209
19968,6,27,noPrior,noWitness,DNA,F,mri,rating,10,0.757
19968,6,27,noPrior,noWitness,DNA,F,mri,rate_punishment,21,1.66
19968,7,8,relatedPrior,isWitness,DNA,F,mri,rating,100,2.389
19968,7,8,relatedPrior,isWitness,DNA,F,mri,rate_punishment,47,1.792
19968,8,17,noPrior,isWitness,noPhys,F,mri,rating,8,1.892
19968,8,17,noPrior,isWitness,noPhys,F,mri,rate_punishment,50,2.419
19968,9,32,noPrior,isWitness,DNA,F,mri,rating,68,2.979
19968,9,32,noPrior,isWitness,DNA,F,mri,rate_punishment,100,2.611
19968,10,4,noPrior,noWitness,nonDNA,T,mri,rating,25,6
19968,10,4,noPrior,noWitness,nonDNA,T,mri,rate_punishment,56,3.091
19968,11,16,unrelatedPrior,noWitness,DNA,F,mri,rating,58,3.031
19968,11,16,unrelatedPrior,noWitness,DNA,F,mri,rate_punishment,92,3.217
19968,12,30,unrelatedPrior,isWitness,noPhys,F,mri,rating,26,2.375
19968,12,30,unrelatedPrior,isWitness,noPhys,F,mri,rate_punishment,100,2.389
19968,13,33,noPrior,noWitness,nonDNA,F,mri,rating,43,1.878
19968,13,33,noPrior,noWitness,nonDNA,F,mri,rate_punishment,52,1.543
19968,14,15,noPrior,isWitness,noPhys,F,mri,rating,29,1.511
19968,14,15,noPrior,isWitness,noPhys,F,mri,rate_punishment,30,3.01
19968,15,12,noPrior,noWitness,DNA,F,mri,rating,52,2.795
19968,15,12,noPrior,noWitness,DNA,F,mri,rate_punishment,39,1.854
19968,16,10,noPrior,noWitness,nonDNA,F,mri,rating,45,1.445
19968,16,10,noPrior,noWitness,nonDNA,F,mri,rate_punishment,88,2.495
19968,17,14,relatedPrior,noWitness,nonDNA,F,mri,rating,75,3.007
19968,17,14,relatedPrior,noWitness,nonDNA,F,mri,rate_punishment,74,2.702
19968,18,7,noPrior,isWitness,nonDNA,F,mri,rating,86,3.508
19968,18,7,noPrior,isWitness,nonDNA,F,mri,rate_punishment,74,2.819
19968,19,31,unrelatedPrior,isWitness,nonDNA,F,mri,rating,68,2.928
