scenario,case_strength_mean,punishment_mean
1,13.358925,24.584316
2,10.110553,27.58763
3,4.433505,21.558858
4,13.81427,34.509891
5,18.647738,67.248591
6,12.139937,21.532458
7,19.47194,69.588868
8,12.347306,36.963129
9,13.838512,37.195207
10,14.606126,70.568444
11,17.166632,68.88773
12,15.034938,34.920558
13,17.245057,33.653822
14,15.928077,59.866381
15,15.4021,34.223412
16,14.452495,77.520423
17,16.026024,55.157651
18,11.429352,39.114946
19,11.781417,33.124396
20,18.860937,67.748086
21,14.382648,65.699963
22,13.207807,39.806256
23,16.081369,76.612347
24,17.121913,36.452215
25,16.931829,27.442465
26,16.002175,68.807793
27,15.063635,24.980735
28,10.19738,75.120019
29,25.701814,45.586131
30,13.529895,57.454869
31,23.143778,63.235923
32,19.033541,66.753402
33,15.643167,53.816955
