scenario,case_strength_mean,punishment_mean
1,9.238317,30.613508
2,9.324342,28.636011
3,7.551886,24.385373
4,8.785288,31.035293
5,16.8014,74.531847
6,8.448462,23.243367
7,16.29869,70.155262
8,10.626459,32.339194
9,11.021506,38.9775
10,14.59778,75.098252
11,16.06787,67.452362
12,10.417876,32.245111
13,12.951761,38.470428
14,17.717492,67.017458
15,9.805796,28.583653
16,16.993184,83.246388
17,13.834951,62.954214
18,9.613561,40.437478
19,9.534136,32.912066
20,16.812799,73.696464
21,14.233995,76.144884
22,12.351147,37.864023
23,12.557558,69.248849
24,13.342958,41.709224
25,7.869297,24.328333
26,17.041525,83.144978
27,5.814806,20.756215
28,12.242919,64.485396
29,12.85931,44.269602
30,13.650594,61.756027
31,14.503086,62.900146
32,16.047715,69.892781
33,9.254677,45.984495
