Feature,juror_z-stat_maps/juror_scenario.nii.gz,juror_z-stat_maps/juror_evidence.nii.gz,juror_z-stat_maps/juror_case_strength.nii.gz,juror_z-stat_maps/juror_punishment.nii.gz
001,-0.0613,-0.0765,0.0911,-0.114
01,-0.0946,-0.0646,0.0448,-0.1046
05,-0.0959,-0.0601,0.0517,-0.1326
10,-0.1294,-0.0287,-0.0022,-0.0901
100,-0.0485,-0.0342,0.0129,-0.0795
11,-0.0734,-0.1024,0.0401,-0.1713
12,-0.0573,-0.0536,0.0164,-0.1004
12 healthy,-0.0088,-0.0235,-0.0044,-0.0576
13,-0.0403,-0.0096,0.025,-0.0704
14,-0.0174,0.034,0.0315,-0.0087
14 healthy,-0.0176,0.0346,-0.0014,-0.0349
15,-0.1041,-0.0935,0.0456,-0.0724
15 healthy,-0.0034,-0.0473,0.0332,-0.0393
16,-0.0454,-0.0094,0.0309,-0.0393
16 healthy,-0.026,-0.024,0.0101,0.0239
17,-0.0542,-0.0736,0.0091,-0.0807
18,-0.0409,-0.0262,0.0541,-0.0809
18 healthy,-0.013,-0.0134,0.0208,-0.0382
19,-0.0006,0.0249,0.076,-0.0143
20,-0.042,-0.0212,0.006,-0.0862
20 healthy,0.0038,0.0239,0.0069,-0.0046
200,-0.042,-0.0795,0.0344,-0.0215
2014,-0.0265,-0.0438,0.0077,0.0016
21,-0.0125,0.0197,0.025,-0.011
22,-0.0296,-0.0477,0.047,-0.0974
23,-0.0655,-0.0537,0.0246,-0.0524
24,-0.074,-0.0566,0.0428,-0.0917
25,-0.0856,-0.0356,0.0446,-0.1003
26,-0.0157,-0.0736,0.0336,-0.0811
27,-0.0713,-0.0348,0.0054,-0.0748
28,-0.0386,-0.036,0.0189,-0.0852
29,-0.0428,-0.0853,0.0297,-0.0151
30,-0.0933,-0.135,0.042,-0.086
31,-0.0688,-0.0465,0.0447,-0.0902
32,-0.1107,-0.0899,0.0328,-0.0578
33,-0.0178,0.0162,-0.0064,-0.0578
34,-0.0818,-0.0535,0.0681,-0.0582
35,-0.0655,-0.0306,0.0269,-0.0551
36,-0.0565,-0.0534,0.0627,-0.0717
37,0.0448,0.0388,-0.0128,0.0292
38,-0.0208,0.0153,-0.0,-0.0729
39,0.0381,0.0569,0.0065,0.0167
3d,0.0226,-0.0391,0.0288,0.039
3t,-0.0813,-0.0905,0.0839,-0.0666
40,-0.0236,-0.01,0.0209,-0.065
41,-0.0191,-0.0181,-0.0155,-0.0778
42,-0.0445,-0.0319,-0.0058,-0.0967
43,-0.0548,-0.0812,0.0112,-0.1097
44,0.0711,0.0528,-0.0411,0.0969
45,0.0524,0.1044,-0.0256,0.1161
46,-0.0113,0.1014,-0.0135,-0.0039
47,0.0477,0.1411,-0.0766,0.0683
48,-0.0354,-0.03,0.0331,-0.0702
49,-0.0196,0.0168,-0.0371,-0.0526
50,-0.0565,-0.1048,0.031,-0.0609
60,-0.0152,-0.035,-0.0116,-0.0505
70,-0.0212,-0.0431,0.0093,-0.0761
75,-0.0535,-0.1002,0.0333,-0.0803
80,-0.0198,-0.0811,0.0466,-0.0501
90,-0.0169,-0.0625,0.0046,-0.0243
aberrant,-0.0628,-0.0137,-0.0097,-0.071
abilities,0.0345,0.0659,-0.0391,0.025
ability,0.0701,0.1202,-0.0364,-0.0091
able,0.0235,-0.1322,-0.0009,-0.0
abnormal,-0.1013,-0.0878,0.0557,-0.1228
abnormalities,-0.1164,-0.0935,0.0927,-0.1511
abnormality,-0.0612,-0.0527,0.0795,-0.0957
absence,-0.0041,-0.0706,0.0465,-0.0103
absent,0.0619,0.098,-0.0507,0.0034
abstract,0.1417,0.1872,-0.0859,0.1242
abuse,-0.0058,0.0092,0.0064,0.0208
acc,-0.1506,-0.0101,-0.0139,-0.0175
access,0.0875,0.1411,-0.0411,0.0957
accompanied,-0.0212,-0.0725,0.0171,-0.0156
accordance,-0.0318,-0.0273,0.0107,-0.0194
according,0.0054,0.0752,-0.0103,0.0569
accordingly,0.0019,-0.1131,-0.002,-0.0039
account,0.0049,-0.0448,-0.0302,0.0067
accounted,0.0217,0.1028,-0.0299,-0.0048
accounts,-0.015,-0.0205,-0.0199,-0.0023
accumbens,-0.0015,0.0732,0.0413,0.0375
accuracy,-0.0075,0.065,-0.0239,-0.0206
accurate,0.0087,0.0314,-0.0238,0.0245
accurately,0.0458,0.0345,-0.0576,-0.0135
achieve,-0.0066,-0.0452,0.0054,-0.0049
achieved,-0.0329,0.0021,0.0294,-0.0326
acoustic,-0.0402,-0.2328,0.0094,-0.0438
acquired,-0.0525,-0.0915,0.0359,-0.0583
acquisition,-0.0378,-0.0964,0.0179,-0.0051
act,-0.0244,-0.0218,-0.0372,-0.0403
action,0.0603,-0.0385,-0.0403,0.0936
action observation,0.0623,-0.054,0.0067,0.1002
actions,0.0711,-0.0344,-0.0177,0.1235
activate,0.0611,0.0133,-0.0307,0.0966
activates,-0.0079,0.0041,-0.0318,0.0335
activations,0.079,0.0637,-0.077,0.1202
active,-0.0046,-0.0774,-0.022,0.0686
actively,0.039,0.0308,-0.0001,0.0785
activities,-0.0081,-0.0097,0.0107,-0.0334
acts,-0.0209,0.053,-0.0303,0.0388
actual,-0.004,-0.067,0.0178,0.0555
actually,0.04,0.0098,-0.025,0.0342
acute,-0.0538,-0.0812,0.0429,-0.0868
ad,-0.0254,-0.012,0.0618,-0.055
adaptation,0.0333,0.0203,-0.0078,0.0067
adapted,-0.0348,-0.0471,-0.0128,-0.0179
adaptive,0.0195,0.0286,-0.0171,0.0125
add,-0.0254,0.003,0.0223,-0.011
addiction,-0.0525,0.0095,0.0652,-0.0267
addition,0.0044,0.0733,-0.0039,0.0459
additional,0.0415,0.0495,-0.0743,0.0635
additionally,0.0302,0.0536,-0.0151,0.0707
addressed,0.0513,0.0934,-0.0404,0.0489
adhd,-0.0762,-0.0108,0.0492,-0.0795
adjacent,-0.0418,-0.1451,0.0254,-0.0207
administered,-0.0561,0.0408,0.0248,-0.0578
administration,-0.0367,-0.0067,0.0275,-0.0804
adolescence,-0.0354,0.0324,0.0224,-0.05
adolescent,-0.0512,0.0185,-0.0148,-0.0687
adolescents,-0.0492,0.0265,0.0028,-0.064
adopted,0.0296,0.0314,-0.0018,-0.0107
adult,-0.0287,-0.0194,-0.0182,-0.0679
adulthood,0.0144,0.0192,0.0543,-0.043
adults,-0.0356,0.0715,-0.001,-0.0555
advance,-0.0275,-0.0387,0.043,0.011
advanced,-0.0362,-0.0212,0.0197,0.0171
advances,-0.0601,-0.1599,0.0392,-0.0764
advantage,0.0175,-0.0885,0.0245,0.0482
affect,0.0275,-0.0123,-0.0094,-0.008
affected,-0.0686,-0.104,0.0235,-0.1659
affecting,-0.0397,-0.1113,0.0158,-0.0844
affective,0.0045,-0.0734,-0.003,-0.0192
affects,0.0152,-0.0155,0.0004,-0.0066
age,-0.0832,-0.0707,0.0369,-0.137
age controls,-0.0338,-0.0189,0.0249,-0.0594
age gender,-0.047,-0.0375,0.0135,-0.1082
age groups,0.0128,0.0183,-0.015,0.0479
age healthy,-0.0355,-0.1586,0.0596,-0.0754
age sex,-0.0665,-0.0531,0.0444,-0.1084
aged,-0.0307,0.0076,0.0101,-0.0743
agent,0.0793,0.0443,-0.0232,0.0723
ages,-0.0007,0.0023,0.0063,-0.0074
aging,0.0276,0.0783,-0.0068,0.0444
agreement,-0.0019,-0.0047,-0.0382,0.0236
aim,-0.0452,-0.0528,0.0251,-0.085
aimed,-0.0655,0.0007,0.028,-0.0187
aims,-0.0195,-0.0166,0.0249,-0.0485
al,0.0231,0.059,-0.0673,0.0132
alcohol,-0.0871,0.0182,-0.0104,-0.0527
alff,-0.0872,-0.0766,0.0531,-0.0657
algorithm,-0.0644,-0.1217,0.055,-0.0841
allele,-0.0015,0.0317,0.009,-0.0948
allocation,0.0616,0.1028,-0.0211,0.0754
allow,0.0253,-0.0663,0.0234,0.0082
allowed,-0.0314,0.0237,-0.0128,-0.002
allowing,0.0048,-0.0193,0.0158,0.0175
allows,0.0065,0.0387,-0.0073,0.0209
alpha,-0.0798,-0.1279,0.0496,-0.0783
alter,-0.0325,-0.0181,-0.0172,-0.0751
alteration,-0.0778,-0.0652,0.0311,-0.0808
alterations,-0.1473,-0.1144,0.0699,-0.1995
altered,-0.1189,-0.1297,0.0867,-0.1317
alternating,0.015,-0.0626,-0.0139,-0.0443
alternative,-0.0215,-0.0374,-0.0064,0.0073
alters,-0.0558,-0.045,0.0556,-0.0096
