,topic_num,topic_name,topic_num_name,scenario,evidence,case_strength,punishment
0,000,"['symptoms', 'severity', 'symptom']","000 ['symptoms', 'severity', 'symptom']",-0.0328,-0.0678,0.0115,-0.1228
1,001,"['treatment', 'therapy', 'baseline']","001 ['treatment', 'therapy', 'baseline']",-0.1069,-0.0355,0.0927,-0.1383
2,002,"['problem', 'problems', 'arithmetic']","002 ['problem', 'problems', 'arithmetic']",0.0352,0.3042,-0.0485,0.0529
3,003,"['task', 'switching', 'set']","003 ['task', 'switching', 'set']",0.0267,0.262,-0.0505,0.0573
4,004,"['cerebellar', 'cerebellum', 'lobule']","004 ['cerebellar', 'cerebellum', 'lobule']",-0.0071,0.1248,-0.0729,0.0138
5,005,"['body', 'bodies', 'eba']","005 ['body', 'bodies', 'eba']",0.0608,-0.0263,0.0083,0.0552
6,006,"['implicit', 'explicit', 'cd']","006 ['implicit', 'explicit', 'cd']",0.012,-0.0019,0.0087,-0.0088
7,007,"['single', 'trial', 'task']","007 ['single', 'trial', 'task']",0.0064,-0.097,0.006,0.0185
8,008,"['cues', 'cue', 'target']","008 ['cues', 'cue', 'target']",0.0701,0.1083,-0.0274,0.08
9,009,"['semantic', 'word', 'knowledge']","009 ['semantic', 'word', 'knowledge']",0.1148,0.2173,-0.0722,0.1756
10,010,"['ofc', 'orbitofrontal', 'cortex']","010 ['ofc', 'orbitofrontal', 'cortex']",-0.0311,0.0874,0.0118,-0.0324
11,011,"['cognitive', 'function', 'performance']","011 ['cognitive', 'function', 'performance']",-0.0498,0.1259,-0.0012,-0.139
12,012,"['adhd', 'disorder', 'attention']","012 ['adhd', 'disorder', 'attention']",-0.0687,-0.0005,0.0456,-0.0666
13,013,"['fear', 'conditioning', 'extinction']","013 ['fear', 'conditioning', 'extinction']",0.0158,0.0329,-0.0567,-0.0453
14,014,"['bpd', 'sn', 'ifc']","014 ['bpd', 'sn', 'ifc']",-0.0119,0.0451,-0.0337,-0.0225
15,015,"['resonance', 'magnetic', 'mechanisms']","015 ['resonance', 'magnetic', 'mechanisms']",-0.0009,-0.0279,0.0249,0.0078
16,016,"['ad', 'disease', 'mci']","016 ['ad', 'disease', 'mci']",-0.0236,-0.019,0.0588,-0.0991
17,017,"['frontal', 'temporal', 'parietal']","017 ['frontal', 'temporal', 'parietal']",0.1022,0.1842,-0.0932,0.0359
18,018,"['color', 'shape', 'shapes']","018 ['color', 'shape', 'shapes']",0.0403,0.0978,-0.0157,0.0568
