,coef_name,coef,se,model,effect
0,const,2.9583752421815435,0.0031077237121172265,extra_evidentiary,evidence
1,126,-0.03212590386918768,0.0037608763690194997,extra_evidentiary,evidence
2,139,-0.07249061102643642,0.004297225753270153,extra_evidentiary,evidence
3,180,0.011156154940824253,0.004545568836362102,extra_evidentiary,evidence
4,112,0.039813681604578405,0.003224330696797691,extra_evidentiary,evidence
5,135,-0.028558107773934194,0.0032852305931530524,extra_evidentiary,evidence
6,145,-0.009207734983056493,0.0033967979226493714,extra_evidentiary,evidence
7,154,-0.002520779283193428,0.0036565655874897713,extra_evidentiary,evidence
0,const,2.9583752421815435,0.0029711137380891766,evidentiary,evidence
1,002,0.07101681303747781,0.0040030112156232926,evidentiary,evidence
2,010,-0.011685704971693224,0.003450373106493125,evidentiary,evidence
3,086,0.012001827538879628,0.004214755508362372,evidentiary,evidence
4,128,0.005126594050455208,0.00368130976305046,evidentiary,evidence
5,186,0.039658722287980216,0.003684982804811033,evidentiary,evidence
6,197,0.02735642276127241,0.004351779325869605,evidentiary,evidence
7,028,0.046741433119027676,0.003701149475904663,evidentiary,evidence
8,030,-0.013824725786852135,0.003403261872368874,evidentiary,evidence
9,100,-0.021896099790338158,0.003194734347067383,evidentiary,evidence
10,111,0.02581452003814825,0.003508013310177651,evidentiary,evidence
11,009,0.10798221291466564,0.0050447272530987465,evidentiary,evidence
12,093,-0.01983987647068501,0.005064150922484607,evidentiary,evidence
13,095,0.025547362543179714,0.004769948425699602,evidentiary,evidence
14,162,0.0037508912846969666,0.0044396353259639745,evidentiary,evidence
15,020,-0.019412312981142738,0.004071740213649501,evidentiary,evidence
16,179,0.013074163061270572,0.004171653757891286,evidentiary,evidence
0,const,2.9583752421815435,0.0030140438791034724,narrative,evidence
1,028,0.06839946203204889,0.003629761166772315,narrative,evidence
2,030,-0.023815030446438422,0.003404853551835849,narrative,evidence
3,100,-0.03263464877714517,0.0031324335850077775,narrative,evidence
4,111,0.014390622587721204,0.00351485533397899,narrative,evidence
5,009,0.11528804211358387,0.005079200449879464,narrative,evidence
6,093,-0.037208666766618714,0.005074067294213282,narrative,evidence
7,095,0.0224572855614371,0.004829266419134644,narrative,evidence
8,162,0.00660317182411696,0.004458789535013321,narrative,evidence
9,020,-0.0017699719896571084,0.003917415422083165,narrative,evidence
10,179,0.031511790841198345,0.003985840433028747,narrative,evidence
0,const,2.9583752421815435,0.0030859662348426587,utility,evidence
1,002,0.10406752373815692,0.0039509771942467815,utility,evidence
2,010,-0.018837110705246657,0.0034712763434987296,utility,evidence
3,086,-0.015492240529515422,0.0040092648098658,utility,evidence
4,128,-0.020854101524224844,0.0037131918385900054,utility,evidence
5,186,0.049969342980743514,0.003757644135084409,utility,evidence
6,197,0.005269773887062484,0.004337457269331242,utility,evidence
0,const,2.9583752421815435,0.0031209473549395138,affect,evidence
1,126,-0.039042275716845126,0.0037116008333422617,affect,evidence
2,139,-0.06279470512282595,0.004108403699069413,affect,evidence
3,180,0.006841516424773375,0.004398916266455377,affect,evidence
0,const,2.9583752421815435,0.003141919618381422,moral_judgment,evidence
1,112,0.03453048959407089,0.003239927585444118,moral_judgment,evidence
2,135,-0.024994153803343966,0.0032511487896858754,moral_judgment,evidence
3,145,-0.01329957316324265,0.0033451042933631487,moral_judgment,evidence
4,154,-0.03205559513612377,0.003455952340760218,moral_judgment,evidence
0,const,2.9583752421815435,0.003080623921627047,exp_cult_recall_narrative,evidence
1,028,0.09399831969081168,0.003558687170294269,exp_cult_recall_narrative,evidence
2,030,-0.04508655072064768,0.003315302977145002,exp_cult_recall_narrative,evidence
3,100,-0.01481205817645681,0.003098208189079123,exp_cult_recall_narrative,evidence
4,111,0.050445905611337355,0.0033500543345440143,exp_cult_recall_narrative,evidence
0,const,2.9583752421815435,0.003055026703513168,reading_narrative,evidence
1,009,0.1465850841095908,0.0048709191590375085,reading_narrative,evidence
2,093,-0.04774524734985111,0.0049974620571452705,reading_narrative,evidence
3,095,0.024859947276790445,0.0048112192031888835,reading_narrative,evidence
4,162,0.0012569494437096318,0.004385465797330831,reading_narrative,evidence
0,const,2.9583752421815435,0.003142875651826995,wm_narrative,evidence
1,020,-0.009568262474410762,0.004046572407948587,wm_narrative,evidence
2,179,0.05972784874679876,0.00404657240794859,wm_narrative,evidence
0,const,2.9583752421815435,0.003099045154584881,utility_probability,evidence
1,002,0.10902336854232259,0.003901740602511661,utility_probability,evidence
2,086,-0.011799075097338352,0.0038842694176358943,utility_probability,evidence
3,128,-0.0012259172024173814,0.003116908209633326,utility_probability,evidence
0,const,2.9583752421815435,0.003133821160235877,utility_value,evidence
1,010,-0.039905424498964726,0.0033347604514783183,utility_value,evidence
2,186,0.06692088727115734,0.00369153759908936,utility_value,evidence
3,197,-0.030672957023542724,0.0038300203582128257,utility_value,evidence
0,const,2.9583752421815435,0.0031521061480591053,moral_judgment_social,evidence
1,145,-0.007615011604077682,0.0033215638206086223,moral_judgment_social,evidence
2,154,-0.03340803938980233,0.003321563820608621,moral_judgment_social,evidence
0,const,2.9583752421815435,0.0031493918158504823,moral_judgment_mj,evidence
1,112,0.025707286440696753,0.0031493947677477766,moral_judgment_mj,evidence
2,135,-0.03381691695630665,0.003149394767747777,moral_judgment_mj,evidence
0,const,2.9583752421815435,0.0031586910601681187,exp_cult_recall_narrative_cult_id_bias,evidence
1,030,-0.005151599650204862,0.0031746572237586214,exp_cult_recall_narrative_cult_id_bias,evidence
2,100,-0.012163359372487914,0.0031746572237586223,exp_cult_recall_narrative_cult_id_bias,evidence
0,const,2.9583752421815435,0.003092839439707424,exp_cult_recall_narrative_recall,evidence
1,028,0.07705536141267494,0.0033608939218417655,exp_cult_recall_narrative_recall,evidence
2,111,0.05063071625017132,0.0033608939218417633,exp_cult_recall_narrative_recall,evidence
