,coef_name,coef,se,model,effect
0,const,0.165694069018624,0.0022288083929837338,extra_evidentiary,scenario
1,126,-0.10971007317493042,0.002428465637971501,extra_evidentiary,scenario
2,139,0.08778884024843797,0.002845720565551596,extra_evidentiary,scenario
3,180,0.09251205013365496,0.0029014850280359066,extra_evidentiary,scenario
4,112,0.005833265296263201,0.0023244873543678485,extra_evidentiary,scenario
5,135,0.019088700542258617,0.002291439945858782,extra_evidentiary,scenario
6,145,0.2441862609119804,0.0025801013722050953,extra_evidentiary,scenario
7,154,-0.08352309290773903,0.002675839551357913,extra_evidentiary,scenario
0,const,0.165694069018624,0.00221908380143126,evidentiary,scenario
1,002,0.050510304793970145,0.0027240740990512333,evidentiary,scenario
2,010,-0.01277652017179035,0.0025147804210974172,evidentiary,scenario
3,086,-0.02048488220023307,0.002786361324434997,evidentiary,scenario
4,128,0.09715352801615192,0.0024676294459293063,evidentiary,scenario
5,186,-0.11393403075079825,0.002746109005564101,evidentiary,scenario
6,197,0.06583765311054184,0.0029596224092794266,evidentiary,scenario
7,028,0.046779825294781266,0.0028636216143088852,evidentiary,scenario
8,030,0.015510929140078272,0.00260553546314773,evidentiary,scenario
9,100,0.10598558449832371,0.002322832849069636,evidentiary,scenario
10,111,0.04609856748081374,0.0026235153535505472,evidentiary,scenario
11,009,-0.047519180345010834,0.003130235737445192,evidentiary,scenario
12,093,0.140397182778837,0.003280658520953772,evidentiary,scenario
13,095,0.048365156821867074,0.0030513294108617936,evidentiary,scenario
14,162,0.07364138668167808,0.0029740652210217167,evidentiary,scenario
15,020,0.019532721049521168,0.002650113973235971,evidentiary,scenario
16,179,-0.03279643376326423,0.0027696546265146456,evidentiary,scenario
0,const,0.165694069018624,0.0022370617079899018,narrative,scenario
1,028,0.04182756309316471,0.00284817690373284,narrative,scenario
2,030,0.005563677509546089,0.002610104741583651,narrative,scenario
3,100,0.09953745654055571,0.0023123921664239514,narrative,scenario
4,111,0.05553632589740574,0.002609969043478003,narrative,scenario
5,009,-0.06075419702794797,0.0031386598063684766,narrative,scenario
6,093,0.14362064611942832,0.003281282759666483,narrative,scenario
7,095,0.05098314514139138,0.0030697893501646823,narrative,scenario
8,162,0.06821292305880688,0.002974306926681423,narrative,scenario
9,020,0.019674554912837552,0.002598523987967816,narrative,scenario
10,179,-0.024947045877689925,0.00259401520019577,narrative,scenario
0,const,0.165694069018624,0.0022804887713244646,utility,scenario
1,002,0.07204812450323339,0.0026650746297645403,utility,scenario
2,010,-0.005853470031986368,0.00254913399024681,utility,scenario
3,086,-0.05675480660809303,0.002703208166864935,utility,scenario
4,128,0.09072657489551567,0.002520725142243721,utility,scenario
5,186,-0.11362582441402702,0.0027685840000207353,utility,scenario
6,197,-0.011328798220225648,0.0029298183954219845,utility,scenario
0,const,0.165694069018624,0.002275546830534813,affect,scenario
1,126,-0.09710044233023621,0.0024645827012916618,affect,scenario
2,139,0.12129461981573947,0.0027946833589909295,affect,scenario
3,180,0.05294181921149806,0.0029080332163255234,affect,scenario
0,const,0.165694069018624,0.002251819254146727,moral_judgment,scenario
1,112,0.018294210704594478,0.0023331361882375917,moral_judgment,scenario
2,135,0.01083244715971136,0.0022933397281451047,moral_judgment,scenario
3,145,0.23289388277168116,0.0025693815852943207,moral_judgment,scenario
4,154,-0.04879503122167193,0.0025824954462985933,moral_judgment,scenario
0,const,0.165694069018624,0.002271387648912063,exp_cult_recall_narrative,scenario
1,028,0.04696512130279958,0.0028414926036471506,exp_cult_recall_narrative,scenario
2,030,0.007873643919538476,0.0026049626387150042,exp_cult_recall_narrative,scenario
3,100,0.1383913652681401,0.002284618498355711,exp_cult_recall_narrative,scenario
4,111,0.05030442623542847,0.0025840023436305344,exp_cult_recall_narrative,scenario
0,const,0.165694069018624,0.002253402596976775,reading_narrative,scenario
1,009,-0.02099619521653678,0.002992481988069251,reading_narrative,scenario
2,093,0.16098569756411962,0.003200482946230779,reading_narrative,scenario
3,095,0.03904264045009759,0.0030720497528985554,reading_narrative,scenario
4,162,0.062435523446840446,0.002945519054758026,reading_narrative,scenario
0,const,0.165694069018624,0.002298585918451155,wm_narrative,scenario
1,020,-0.0064109886437000545,0.0026363511128892738,wm_narrative,scenario
2,179,0.00337664659758366,0.0026363511128892707,wm_narrative,scenario
0,const,0.165694069018624,0.0022930937425780402,utility_probability,scenario
1,002,0.059623178002996186,0.002648524494872346,utility_probability,scenario
2,086,-0.04577987778064093,0.0026468190668435753,utility_probability,scenario
3,128,0.05183925174322633,0.0022948020327502616,utility_probability,scenario
0,const,0.165694069018624,0.002291143788929721,utility_value,scenario
1,010,-0.010123625517232913,0.0025035184412776417,utility_value,scenario
2,186,-0.09303158295197518,0.0027021929889370637,utility_value,scenario
3,197,0.01854675394923449,0.002739201924739755,utility_value,scenario
0,const,0.165694069018624,0.002252219804714773,moral_judgment_social,scenario
1,145,0.23654690251585436,0.002536609358993783,moral_judgment_social,scenario
2,154,-0.044560747166508485,0.002536609358993784,moral_judgment_social,scenario
0,const,0.165694069018624,0.002294102553136906,moral_judgment_mj,scenario
1,112,0.06097927825602961,0.0022959339018382317,moral_judgment_mj,scenario
2,135,0.029554284292399414,0.0022959339018382343,moral_judgment_mj,scenario
0,const,0.165694069018624,0.0022767974378737825,exp_cult_recall_narrative_cult_id_bias,scenario
1,030,0.044271893046983396,0.002286989052362295,exp_cult_recall_narrative_cult_id_bias,scenario
2,100,0.14027593516061324,0.002286989052362297,exp_cult_recall_narrative_cult_id_bias,scenario
0,const,0.165694069018624,0.002289769155076572,exp_cult_recall_narrative_recall,scenario
1,028,0.06387255467188581,0.0025995748537492157,exp_cult_recall_narrative_recall,scenario
2,111,0.04792062933377432,0.0025995748537492227,exp_cult_recall_narrative_recall,scenario
