,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5,6
0,3,0.0036819536447062484,3489.445928594663,3515.2586800404247,132,178,111
1,3,0.0063158881199321115,3477.03070597652,3502.8434574222815,103,144,065
2,3,0.022204187302897083,3401.4349714803775,3427.247722926139,182,147,095
3,3,0.016892259975222812,3426.8446863758436,3452.657437821605,095,181,111
4,3,0.003088025336834277,3492.2409134353347,3518.053664881096,042,096,091
5,3,0.015464653392901595,3433.650266200186,3459.4630176459473,110,115,003
6,3,0.002275845130536136,3496.060282112814,3521.8730335585756,006,037,066
7,3,0.011095409594720995,3454.417847226696,3480.2305986724573,092,191,084
8,3,0.018193882646734827,3420.6310692247353,3446.4438206704967,050,132,085
9,3,0.015362415541707142,3434.1372681439625,3459.950019589724,085,164,094
10,3,0.0038375652303549446,3488.7133559596095,3514.526107405371,114,032,122
11,3,0.021370496544248163,3405.432067472182,3431.2448189179436,020,190,158
12,3,0.020796137420313277,3408.1838280819084,3433.99657952767,157,189,004
13,3,0.014780495321315534,3436.9082365843406,3462.720988030102,107,132,016
14,3,0.004702863152525993,3484.6377045447225,3510.450455990484,176,124,122
15,3,0.011255979924644666,3453.6562611238805,3479.469012569642,042,034,153
16,3,0.0022890877911778684,3495.9980319504957,3521.810783396257,047,096,104
17,3,0.008240743382501914,3467.9369447007994,3493.749696146561,131,083,023
18,3,0.008189295417953768,3468.1802342832234,3493.992985728985,162,066,133
19,3,0.014387873174667498,3438.776887221671,3464.5896386674326,006,026,196
20,3,0.00275951279760811,3493.7861551882834,3519.598906634045,073,070,069
21,3,0.004190799375955456,3487.050010828787,3512.8627622745485,008,009,011
22,3,-0.00015447374880639408,3507.4705860251834,3533.283337470945,104,150,120
23,3,0.04562980560168306,3287.7060961814077,3313.518847627169,086,046,094
24,3,0.023285433441153747,3396.245902177341,3422.0586536231026,003,032,181
25,3,0.0016929693102188947,3498.7994053236835,3524.612156769445,048,038,125
26,3,0.015062624928822488,3435.5650056144095,3461.377757060171,045,028,181
27,3,0.00807061059367753,3468.741428593112,3494.5541800388733,013,114,176
28,3,0.0038320699240306233,3488.739228161443,3514.5519796072044,058,116,111
29,3,0.0006837552285902104,3503.538251234897,3529.3510026806584,159,199,132
30,3,0.04799599053752379,3276.063667296883,3301.8764187426445,123,031,163
31,3,0.028936258168498985,3369.032905490707,3394.8456569364685,054,105,093
32,3,0.008388662679808978,3467.2373865770915,3493.050138022853,130,035,072
33,3,0.0024420879890562075,3495.2787595188856,3521.091510964647,184,196,097
34,3,0.033011294815279646,3349.310064585916,3375.1228160316773,125,149,156
35,3,0.0035647795599588195,3489.997473502157,3515.8102249479184,192,160,048
36,3,0.014382965287986549,3438.800241166491,3464.6129926122526,161,106,092
37,3,0.011925320771469683,3450.4802402852674,3476.292991731029,153,178,189
38,3,0.00775218428644131,3470.246757240073,3496.0595086858343,130,138,141
39,3,0.017274000111513255,3425.02320857194,3450.8359600177014,062,008,141
40,3,0.01062119005785489,3456.6663518343885,3482.47910328015,015,091,103
41,3,0.028802749134881456,3369.6776770955603,3395.4904285413218,012,046,187
42,3,0.022763524483686348,3398.751341685316,3424.5640931310777,144,034,190
43,3,0.02990212103998935,3364.3657029326096,3390.178454378371,005,074,178
44,3,0.007173476233602094,3472.9813055546892,3498.7940570004507,102,097,060
45,3,0.013327286310303332,3443.82093843694,3469.6336898827017,124,170,072
46,3,0.01027686742427436,3458.2982770355047,3484.111028481266,186,193,148
47,3,0.008587797483142756,3466.2954489631284,3492.10820040889,056,159,153
48,3,0.013035684470911968,3445.206819038538,3471.0195704842995,045,039,031
49,3,0.020579735533543753,3409.220193190522,3435.0329446362834,029,007,077
50,3,0.011659586675000888,3451.7414054369037,3477.554156882665,118,182,016
51,3,0.027211363634499386,3377.3563333173297,3403.169084763091,093,063,048
52,3,0.005771711988381556,3479.598410791741,3505.4111622375026,012,008,087
53,3,0.04934753666940972,3269.4006122311403,3295.2133636769017,016,123,108
54,3,0.044114758115573194,3295.145493096359,3320.9582445421206,080,044,062
55,3,0.0036356450568424403,3489.6639134345733,3515.4766648803347,011,134,074
56,3,0.038640350368304266,3321.9287613422985,3347.74151278806,062,113,046
57,3,0.003996736369703213,3487.963907612282,3513.7766590580436,091,072,019
58,3,0.017178005994391454,3425.4813122774303,3451.294063723192,194,189,196
59,3,0.007019085791503454,3473.7105718078565,3499.523323253618,194,146,022
60,3,0.022358678319280734,3400.6938963973607,3426.506647843122,101,195,122
61,3,0.007533325623646947,3471.2811096749356,3497.093861120697,152,089,007
62,3,0.005688023510904139,3479.9931716790197,3505.805923124781,084,168,031
63,3,0.004192042694181941,3487.044155122576,3512.8569065683373,002,018,008
64,3,0.002690651338773553,3494.109997928388,3519.9227493741496,091,142,134
65,3,0.022037059294472527,3402.2365328795568,3428.0492843253182,101,012,133
66,3,0.0058949308836032666,3479.017123335834,3504.8298747815957,119,178,008
67,3,0.03239276720527495,3352.3090314841866,3378.121782929948,035,099,155
68,3,0.009708720811076765,3460.989780363152,3486.8025318089135,172,170,042
69,3,0.0005691766632756057,3504.07596156402,3529.8887130097814,049,150,159
70,3,0.00708960221963173,3473.377500157798,3499.1902516035593,068,061,002
71,3,0.026157454622498966,3382.4346797401977,3408.247431185959,148,085,080
72,3,0.0015804395485601308,3499.328035117147,3525.1407865629085,140,072,081
73,3,0.009379481418508528,3462.5487924979698,3488.3615439437312,065,066,033
74,3,0.019606787526608493,3413.8768879026447,3439.689639348406,003,133,075
75,3,0.02886930972768187,3369.3562389143517,3395.168990360113,077,088,170
76,3,0.030651403378654574,3360.741850057655,3386.5546015034165,133,029,052
77,3,0.0077188364110301055,3470.4043780531993,3496.2171294989607,075,102,103
78,3,0.00284339096484032,3493.3916614284462,3519.2044128742077,011,090,191
79,3,0.019597193433812055,3413.9227838497773,3439.7355352955387,083,050,033
80,3,0.04583473695108142,3286.6989071049666,3312.511658550728,088,005,165
81,3,0.027834816244255878,3374.3495854864505,3400.162336932212,046,039,018
