,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5,6
0,3,0.006084927059378575,690042.192352164,690083.5492205172,132,178,111
1,3,0.003007386367510967,690748.5699453716,690789.9268137248,103,144,065
2,3,0.023730109625181184,685949.4476372609,685990.8045056141,182,147,095
3,3,0.032975781004620064,683775.3097513068,683816.66661966,095,181,111
4,3,0.018401794577945774,687193.078314112,687234.4351824652,042,096,091
5,3,0.029247105447993693,684654.6059538487,684695.9628222019,110,115,003
6,3,0.008351731473486446,689520.5001078069,689561.8569761601,006,037,066
7,3,0.0066095662454809245,689921.55550238,689962.9123707332,092,191,084
8,3,0.00996782765764126,689147.8360004278,689189.192868781,050,132,085
9,3,0.016892100940813615,687544.2141897483,687585.5710581015,085,164,094
10,3,0.004895708331101423,690315.4086917379,690356.7655600911,114,032,122
11,3,0.007372849184434482,689745.9304870906,689787.2873554438,020,190,158
12,3,0.04117705772535207,681829.2948501522,681870.6517185054,157,189,004
13,3,0.005261993102873119,690231.291629281,690272.6484976342,107,132,016
14,3,0.008786634212767486,689420.2733623267,689461.6302306799,176,124,122
15,3,0.016645895569842195,687601.4273390183,687642.7842073715,042,034,153
16,3,0.012024762557315771,688672.6357319483,688713.9926003015,047,096,104
17,3,0.008560986745994592,689472.281077767,689513.6379461202,131,083,023
18,3,0.02966623721538031,684555.9349494046,684597.2918177578,162,066,133
19,3,0.00255874703473169,690851.3624862698,690892.719354623,006,026,196
20,3,0.020303931424807353,686749.8953861804,686791.2522545336,073,070,069
21,3,0.02346656271842229,686011.1189662777,686052.4758346309,008,009,011
22,3,0.029838077212878678,684515.4684659769,684556.8253343301,104,150,120
23,3,0.0011836320339736472,691166.1419487193,691207.4988170725,086,046,094
24,3,0.011241879277062106,688853.6166711688,688894.973539522,003,032,181
25,3,9.74033249357964e-05,691414.4858359303,691455.8427042835,048,038,125
26,3,0.014081090334002733,688196.5857775421,688237.9426458953,045,028,181
27,3,0.0070910306024128955,689810.7903049029,689852.1471732561,013,114,176
28,3,0.008110744406501058,689576.0185415419,689617.3754098951,058,116,111
29,3,0.005710751655630508,690128.1922857407,690169.549154094,159,199,132
30,3,0.03552952455853653,683171.127580774,683212.4844491272,123,031,163
31,3,0.04198688298642839,681636.2357565082,681677.5926248614,054,105,093
32,3,0.004037284112352046,690512.4240128503,690553.7808812035,130,035,072
33,3,0.00974274357602678,689199.7757681143,689241.1326364675,184,196,097
34,3,0.0013103858253251666,691137.1447023458,691178.501570699,125,149,156
35,3,0.0019470928465987747,690991.4306368431,691032.7875051963,192,160,048
36,3,0.00499354583392031,690292.9434030887,690334.3002714419,161,106,092
37,3,0.007370666822660188,689746.432822753,689787.7896911062,153,178,189
38,3,0.014158837968248239,688178.567345199,688219.9242135521,130,138,141
39,3,0.022001358956008188,686353.6809714457,686395.037839799,062,008,141
40,3,0.012059903664615845,688664.5087181204,688705.8655864736,015,091,103
41,3,0.008219059842630383,689551.0665753625,689592.4234437157,012,046,187
42,3,0.017629946431982013,687372.6679670571,687414.0248354103,144,034,190
43,3,0.010496426124135594,689025.81166566,689067.1685340132,005,074,178
44,3,0.01538573760023354,687894.0384577492,687935.3953261024,102,097,060
45,3,0.008776390443637094,689422.6346248849,689463.9914932381,124,170,072
46,3,0.008449423614053653,689497.9900166695,689539.3468850227,186,193,148
47,3,0.003630830207116853,690605.6492526669,690647.0061210201,056,159,153
48,3,0.0035824397239974104,690616.7456761723,690658.1025445255,045,039,031
49,3,0.013025429017318624,688441.1004358402,688482.4573041934,029,007,077
50,3,0.0008603063394877486,691240.0919486387,691281.4488169919,118,182,016
51,3,0.03594408087388301,683072.8981011827,683114.2549695359,093,063,048
52,3,0.009343117706637427,689291.9632253794,689333.3200937326,012,008,087
53,3,0.024203635936877244,685838.5982087117,685879.9550770649,016,123,108
54,3,0.02220356369471499,686306.4364047593,686347.7932731125,080,044,062
55,3,0.016774576761343862,687571.5262195301,687612.8830878834,011,134,074
56,3,0.015465323229403083,687875.5696025419,687916.9264708951,062,113,046
57,3,0.01085937492780742,688941.9889829528,688983.345851306,091,072,019
58,3,0.009670159755047814,689216.5224885227,689257.8793568759,194,189,196
59,3,0.03225205187495617,683946.2444104421,683987.6012787953,194,146,022
60,3,0.031054128449943263,684228.8963919193,684270.2532602726,101,195,122
61,3,0.0006949696741682665,691277.8979654225,691319.2548337757,152,089,007
62,3,0.004989740013246258,690293.8173307485,690335.1741991017,084,168,031
63,3,0.005621482991701621,690148.7048846872,690190.0617530404,002,018,008
64,3,0.011927581330898884,688695.1091354662,688736.4660038194,091,142,134
65,3,0.026579856597137907,685281.5269013532,685322.8837697064,101,012,133
66,3,0.011630680818599304,688763.7544377414,688805.1113060946,119,178,008
67,3,0.03965538796663193,682191.6141729834,682232.9710413367,035,099,155
68,3,0.005231815750182167,690238.2230096468,690279.579878,172,170,042
69,3,0.01602634494676325,687745.3350219247,687786.6918902779,049,150,159
70,3,0.003066459754507922,690735.031565669,690776.3884340222,068,061,002
71,3,0.003794287738430824,690568.1628148447,690609.519683198,148,085,080
72,3,0.0015081445771119029,691091.8964224873,691133.2532908405,140,072,081
73,3,0.03137642622262815,684152.8840839704,684194.2409523237,065,066,033
74,3,0.01212623972007243,688649.166522889,688690.5233912423,003,133,075
75,3,0.008719753727350565,689435.6893554599,689477.0462238131,077,088,170
76,3,0.01794492089590105,687299.3983780467,687340.7552463999,133,029,052
77,3,0.010403000069523771,689047.3833488118,689088.740217165,075,102,103
78,3,0.0045773662661473535,690388.4905975577,690429.847465911,011,090,191
79,3,0.023544765138623025,685992.8209353272,686034.1778036804,083,050,033
80,3,0.010398094720188267,689048.5159170738,689089.872785427,088,005,165
81,3,0.002513113774669451,690861.8154183385,690903.1722866917,046,039,018
82,3,0.024988796348359377,685654.6786679508,685696.035536304,150,037,181
83,3,0.008357290013905505,689519.219375928,689560.5762442813,124,106,041
84,3,0.06998670283886632,674858.8391445378,674900.196012891,060,187,155
85,3,0.014476645361423235,688104.8989935268,688146.25586188,029,048,168
86,3,0.017590734216521242,687381.7878967491,687423.1447651023,118,136,082
87,3,0.020273498214105512,686756.9928560028,686798.349724356,025,168,014
88,3,0.009804812115612016,689185.4541860179,689226.8110543711,193,005,102
89,3,0.013281467117374213,688381.8203446965,688423.1772130497,117,003,051
90,3,0.007042219857361975,689822.0221012624,689863.3789696156,102,109,156
91,3,0.02872400605430625,684777.6930226005,684819.0498909537,162,051,047
92,3,0.001532891751982901,691086.2335031594,691127.5903715126,068,077,047
93,3,0.00551048674759691,690174.2075872119,690215.5644555651,142,080,192
94,3,0.008318913495544256,689528.0614843738,689569.418352727,053,045,004
95,3,0.007768675699181604,689654.800936141,689696.1578044943,108,105,196
96,3,0.006239715304884763,690006.6065784271,690047.9634467803,187,196,138
97,3,0.002723137918247187,690813.7025061052,690855.0593744584,188,169,159
98,3,0.009219004686542132,689320.5865958396,689361.9434641928,199,075,188
99,3,0.017159714776024737,687482.0098928324,687523.3667611856,105,151,189
100,3,0.010511004420071135,689022.4454147285,689063.8022830817,000,116,186
101,3,0.01994787684555166,686832.918725271,686874.2755936242,094,016,025
102,3,0.021614129380415292,686444.1288110684,686485.4856794216,102,009,096
103,3,0.020016449339693154,686816.9316191233,686858.2884874765,146,169,080
104,3,0.0024854692565001724,690868.1475466182,690909.5044149715,183,113,087
105,3,0.013967545358055777,688222.8978836494,688264.2547520027,091,165,059
106,3,0.014266068660115483,688153.7137240749,688195.0705924281,096,133,083
107,3,0.01490203468756901,688006.2557585924,688047.6126269456,059,120,179
108,3,0.00700893594001184,689829.6807167507,689871.0375851039,132,169,116
109,3,0.02023053495889582,686767.0121401533,686808.3690085065,195,109,191
110,3,0.011617273605435852,688766.853784766,688808.2106531193,001,122,090
111,3,0.003309567844036132,690679.3078518054,690720.6647201586,026,043,185
112,3,0.0233849858730083,686030.2049936283,686071.5618619815,095,020,168
113,3,0.017260086320882384,687458.6751118691,687500.0319802223,150,107,031
114,3,0.017843712544321932,687322.9441004756,687364.3009688288,081,007,101
115,3,0.01039494936499652,689049.242127325,689090.5989956782,148,122,091
116,3,0.0083367790306218,689523.9452338208,689565.302102174,070,026,176
117,3,0.014227507906169556,688162.6515359331,688204.0084042863,199,136,072
118,3,0.0010136605168109547,691205.0202644856,691246.3771328388,183,140,020
119,3,0.010281407481679383,689075.4555161702,689116.8123845235,079,152,081
120,3,0.019319286247007073,686979.4172873844,687020.7741557376,098,061,055
121,3,0.010034162816614733,689132.5264333873,689173.8833017405,041,082,013
122,3,0.039981844473916395,682113.9311808607,682155.2880492139,155,198,117
123,3,0.013922363261277493,688233.3672190735,688274.7240874267,143,096,071
124,3,0.02170383124968689,686423.1797229706,686464.5365913238,146,142,113
125,3,0.012440334525020247,688576.5087223395,688617.8655906927,022,099,160
126,3,0.0009294892991176251,691224.2706600304,691265.6275283836,080,178,007
127,3,0.014401386692734719,688122.3462410193,688163.7031093725,178,075,079
128,3,0.02607220572887492,685400.6526042817,685442.0094726349,055,150,064
129,3,0.04354907735135749,681263.3533968409,681304.7102651941,061,007,157
130,3,0.020837740636139412,686625.3674085187,686666.7242768719,044,170,046
131,3,0.029588687778250744,684574.1946665425,684615.5515348957,024,164,074
132,3,0.02170383124968711,686423.1797229705,686464.5365913237,146,113,142
133,3,0.008067513700457551,689585.9765747683,689627.3334431215,069,043,021
134,3,0.003302909645783725,690680.834183333,690722.1910516862,020,149,037
135,3,0.013057980072034625,688433.5647956113,688474.9216639645,006,062,185
136,3,0.013549124065530993,688319.833712847,688361.1905812002,061,096,186
137,3,0.0038362382973009534,690558.541115989,690599.8979843422,014,114,004
138,3,0.002573263901890832,690848.0370959409,690889.3939642941,007,048,110
139,3,0.011437682398798943,688808.3658519867,688849.7227203399,013,166,130
140,3,0.012706732244916696,688514.8663087906,688556.2231771438,120,043,071
141,3,0.006458312640904795,689956.3416704971,689997.6985388503,081,133,013
142,3,0.007979308136760621,689606.2930540536,689647.6499224068,106,171,143
143,3,0.0038520006240295723,690554.9257945637,690596.2826629169,086,125,198
144,3,0.0189553607521058,687064.1904078198,687105.547276173,136,192,186
145,3,0.02509664366088471,685629.4044553894,685670.7613237426,162,175,130
146,3,0.012660468318802853,688525.5726240459,688566.9294923991,032,029,161
147,3,0.017336268428637336,687440.9623976622,687482.3192660154,076,175,091
148,3,0.013388600506787585,688357.0113577798,688398.368226133,013,109,097
149,3,0.0030964464079237253,690728.1589474855,690769.5158158387,068,170,159
150,3,0.0036616937330685717,690598.5716548905,690639.9285232438,002,018,196
151,3,0.009189981552644944,689327.2794932708,689368.636361624,018,105,193
152,3,0.009095261444580394,689349.1211174409,689390.4779857941,069,134,045
153,3,0.011036648336208543,688901.0366763435,688942.3935446967,056,055,094
154,3,0.024606584682872912,685744.2281575631,685785.5850259163,115,083,106
155,3,0.0038692437393081924,690550.9707669881,690592.3276353413,081,116,039
156,3,0.003342879639969709,690671.6712717605,690713.0281401137,191,106,006
157,3,0.03774639336550778,682645.3469940734,682686.7038624266,173,114,022
158,3,0.011526416018571295,688787.8562359053,688829.2131042585,074,165,085
159,3,0.007961522248936315,689610.389477255,689651.7463456083,070,159,023
160,3,0.005948046033055543,690073.6566442407,690115.0135125939,119,026,014
161,3,0.002484174256648153,690868.4441691238,690909.801037477,197,127,196
162,3,0.0029629784002712656,690758.7467906916,690800.1036590448,011,179,043
163,3,0.008909933196004305,689391.8501440038,689433.207012357,059,111,142
164,3,0.012332181472720194,688601.5297734068,688642.88664176,014,049,136
165,3,0.012178164091184551,688637.1567415134,688678.5136098666,177,022,048
166,3,0.007334583732716671,689754.7382621772,689796.0951305304,088,132,072
167,3,0.009199033800456169,689325.1920152009,689366.5488835541,148,050,021
168,3,0.006649008523709865,689912.4834712206,689953.8403395738,081,008,086
