,0,1
0,111,179
1,025,102
2,091,016
3,122,043
4,142,114
5,034,057
6,179,062
7,094,182
8,129,052
9,183,178
10,094,059
11,120,047
12,010,182
13,128,037
14,121,191
15,190,108
16,186,052
17,005,143
18,122,192
19,056,146
20,046,187
21,189,027
22,065,042
23,074,023
24,000,081
25,004,170
26,066,075
27,137,147
28,031,050
29,075,098
30,082,176
31,059,060
32,092,166
33,128,031
34,076,097
35,120,094
36,128,160
37,072,123
38,085,003
39,013,037
40,118,174
41,191,019
42,059,075
43,006,095
44,033,053
45,035,169
46,132,085
47,089,087
48,075,186
49,125,184
50,052,104
51,018,058
52,062,078
53,077,108
54,083,001
55,150,159
56,189,043
57,025,128
58,106,165
59,122,097
60,103,137
61,006,077
62,012,011
63,052,026
64,088,052
65,037,025
66,019,035
67,147,069
68,054,149
69,088,026
70,195,054
71,169,013
72,041,040
73,094,159
74,044,021
75,129,072
76,192,058
77,056,070
78,164,004
79,166,005
80,061,037
81,164,141
82,138,115
83,060,125
84,043,068
85,137,106
86,189,000
87,175,008
88,120,163
89,015,182
90,101,017
91,188,127
92,072,192
93,171,056
94,006,110
95,026,075
96,055,085
97,059,087
98,058,002
99,058,157
100,198,162
101,036,009
102,146,131
103,124,039
104,174,166
105,040,194
106,190,186
107,097,110
108,051,162
109,162,061
110,088,027
111,066,081
112,104,083
113,128,114
114,165,055
115,047,037
116,075,197
117,173,110
118,073,032
119,067,034
120,118,168
121,105,044
122,125,058
123,068,067
124,142,019
125,089,197
126,144,138
127,023,045
128,038,199
129,125,115
130,188,133
131,185,189
132,144,185
133,040,189
134,050,033
135,110,002
136,080,189
137,183,019
138,022,105
139,177,137
140,144,055
141,120,096
142,099,148
143,178,138
144,107,121
145,187,000
146,198,168
147,117,073
148,117,074
149,049,063
150,016,191
151,156,173
152,008,015
153,068,034
154,007,008
155,060,120
156,174,132
157,057,131
158,076,192
159,080,062
160,019,171
161,130,170
162,114,168
163,093,064
164,033,170
165,013,054
166,052,110
167,119,108
168,011,081
169,176,071
170,057,049
171,090,032
172,144,036
173,114,133
174,000,129
175,040,094
176,170,029
177,105,120
178,050,176
179,045,183
180,066,023
181,002,116
182,086,128
183,198,007
184,091,128
185,014,041
186,178,099
187,108,057
188,048,137
189,144,192
190,179,034
191,031,192
192,184,172
193,095,171
194,024,153
195,185,096
196,086,060
197,010,148
198,114,150
199,119,121
200,132,161
201,089,151
202,194,009
203,097,035
204,012,167
205,034,081
206,132,039
207,008,155
208,091,098
209,092,055
210,175,193
211,152,064
212,173,169
213,168,090
214,044,125
215,137,014
216,087,047
217,043,057
218,075,196
219,047,072
220,194,059
221,113,058
222,150,057
223,163,072
224,092,069
225,159,053
226,166,097
227,020,190
228,093,168
229,197,095
230,038,197
231,190,155
232,083,095
233,160,137
234,050,167
235,140,175
236,080,158
237,045,153
238,161,081
239,107,080
240,195,136
241,027,164
242,194,024
243,170,087
244,050,153
245,088,059
246,130,046
247,127,136
248,155,086
249,050,076
250,149,136
251,047,167
252,050,077
253,051,024
254,088,029
255,193,049
256,039,183
257,147,026
258,186,104
259,167,077
260,005,009
261,110,120
262,143,184
263,022,033
264,056,011
265,168,110
266,043,023
267,105,196
268,028,122
269,058,110
270,196,132
271,089,131
272,060,086
273,148,191
274,087,010
275,006,121
276,136,001
277,101,086
278,129,076
279,124,196
280,042,118
281,051,185
282,048,012
283,037,143
284,170,055
285,168,023
286,193,171
287,129,044
288,015,187
289,109,114
290,050,195
291,104,186
292,073,070
293,196,045
294,044,152
295,054,192
296,173,018
297,058,034
298,105,133
299,073,183
300,080,034
301,063,151
302,069,193
303,017,179
304,120,002
305,175,129
306,169,197
307,084,116
308,178,042
309,182,076
310,114,121
311,028,192
312,123,011
313,024,009
314,012,148
315,020,024
316,028,080
317,094,053
318,021,120
319,186,032
320,001,166
321,090,168
322,055,047
323,128,111
324,074,148
325,033,020
326,070,003
327,093,182
328,178,087
329,117,089
330,001,155
331,072,134
332,071,175
333,012,110
334,038,068
335,074,063
336,102,036
337,141,026
338,060,042
339,106,082
340,076,007
341,026,185
342,120,031
343,104,142
344,087,000
345,005,108
346,128,183
347,137,125
348,095,144
349,082,052
350,082,031
351,185,008
352,058,133
353,147,036
354,176,118
355,167,136
356,151,103
357,116,163
358,006,005
359,027,086
360,015,059
361,048,134
362,084,060
363,167,150
364,151,009
365,003,141
366,148,192
367,133,141
368,156,147
369,058,153
370,117,127
371,008,079
372,131,010
373,123,067
374,027,170
375,059,090
376,046,057
377,019,065
378,123,089
379,085,161
380,071,156
381,155,136
382,083,022
383,000,168
384,090,156
385,195,093
386,084,190
387,084,080
388,046,191
389,129,111
390,178,119
391,003,182
392,066,113
393,123,009
394,110,079
395,169,157
396,151,002
397,048,005
398,078,059
399,194,174
400,185,198
401,044,190
402,072,073
403,141,010
404,093,179
405,130,065
406,051,033
407,032,058
408,087,046
409,197,153
410,088,062
411,140,194
412,025,117
413,071,109
414,110,150
415,079,004
416,072,144
417,190,095
418,072,087
419,075,068
420,060,111
421,150,056
422,185,147
423,130,096
424,198,077
425,008,176
426,111,127
427,047,081
428,193,118
429,119,143
430,175,042
431,179,141
432,056,052
433,065,024
434,010,189
435,045,098
436,128,186
437,194,132
438,143,065
439,107,166
440,101,174
441,191,000
442,164,019
443,170,052
444,060,004
445,134,137
446,143,047
447,014,173
448,143,124
449,104,162
450,115,121
451,133,031
452,090,104
453,064,029
454,058,117
455,015,093
456,076,029
457,199,004
458,128,022
459,163,053
460,173,131
461,023,028
462,141,194
463,015,195
464,086,029
465,189,195
466,070,160
467,127,042
468,160,060
469,136,197
470,003,152
471,003,058
