,0,1,2
0,132,178,111
1,103,144,065
2,182,147,095
3,095,181,111
4,042,096,091
5,110,115,003
6,006,037,066
7,092,191,084
8,050,132,085
9,085,164,094
10,114,032,122
11,020,190,158
12,157,189,004
13,107,132,016
14,176,124,122
15,042,034,153
16,047,096,104
17,131,083,023
18,162,066,133
19,006,026,196
20,073,070,069
21,008,009,011
22,104,150,120
23,086,046,094
24,003,032,181
25,048,038,125
26,045,028,181
27,013,114,176
28,058,116,111
29,159,199,132
30,123,031,163
31,054,105,093
32,130,035,072
33,184,196,097
34,125,149,156
35,192,160,048
36,161,106,092
37,153,178,189
38,130,138,141
39,062,008,141
40,015,091,103
41,012,046,187
42,144,034,190
43,005,074,178
44,102,097,060
45,124,170,072
46,186,193,148
47,056,159,153
48,045,039,031
49,029,007,077
50,118,182,016
51,093,063,048
52,012,008,087
53,016,123,108
54,080,044,062
55,011,134,074
56,062,113,046
57,091,072,019
58,194,189,196
59,194,146,022
60,101,195,122
61,152,089,007
62,084,168,031
63,002,018,008
64,091,142,134
65,101,012,133
66,119,178,008
67,035,099,155
68,172,170,042
69,049,150,159
70,068,061,002
71,148,085,080
72,140,072,081
73,065,066,033
74,003,133,075
75,077,088,170
76,133,029,052
77,075,102,103
78,011,090,191
79,083,050,033
80,088,005,165
81,046,039,018
82,150,037,181
83,124,106,041
84,060,187,155
85,029,048,168
86,118,136,082
87,025,168,014
88,193,005,102
89,117,003,051
90,102,109,156
91,162,051,047
92,068,077,047
93,142,080,192
94,053,045,004
95,108,105,196
96,187,196,138
97,188,169,159
98,199,075,188
99,105,151,189
100,000,116,186
101,094,016,025
102,102,009,096
103,146,169,080
104,183,113,087
105,091,165,059
106,096,133,083
107,059,120,179
108,132,169,116
109,195,109,191
110,001,122,090
111,026,043,185
112,095,020,168
113,150,107,031
114,081,007,101
115,148,122,091
116,070,026,176
117,199,136,072
118,183,140,020
119,079,152,081
120,098,061,055
121,041,082,013
122,155,198,117
123,143,096,071
124,146,142,113
125,022,099,160
126,080,178,007
127,178,075,079
128,055,150,064
129,061,007,157
130,044,170,046
131,024,164,074
132,146,113,142
133,069,043,021
134,020,149,037
135,006,062,185
136,061,096,186
137,014,114,004
138,007,048,110
139,013,166,130
140,120,043,071
141,081,133,013
142,106,171,143
143,086,125,198
144,136,192,186
145,162,175,130
146,032,029,161
147,076,175,091
148,013,109,097
149,068,170,159
150,002,018,196
151,018,105,193
152,069,134,045
153,056,055,094
154,115,083,106
155,081,116,039
156,191,106,006
157,173,114,022
158,074,165,085
159,070,159,023
160,119,026,014
161,197,127,196
162,011,179,043
163,059,111,142
164,014,049,136
165,177,022,048
166,088,132,072
167,148,050,021
168,081,008,086
169,006,015,174
170,094,115,097
171,072,063,091
172,166,102,014
173,125,050,190
174,001,085,033
175,033,131,129
176,009,011,179
177,144,170,156
178,106,144,002
179,198,032,168
180,185,183,097
181,188,155,079
182,093,068,042
183,073,137,159
184,055,021,137
185,093,118,040
186,028,075,167
187,086,091,184
188,024,068,189
189,010,185,067
190,018,162,060
191,148,107,121
192,066,004,082
193,089,144,122
194,134,059,043
195,122,064,093
196,002,146,006
197,163,170,023
198,164,020,032
199,069,107,004
200,128,159,102
201,012,168,133
202,069,133,179
203,021,025,193
204,122,104,162
205,029,092,016
206,083,103,131
207,150,063,094
208,073,069,102
209,155,192,041
210,021,072,167
211,027,199,174
212,186,174,012
213,118,050,024
214,073,199,183
215,068,001,077
216,062,034,165
217,163,144,007
218,069,082,151
219,102,088,096
220,115,153,194
221,014,196,061
222,004,058,192
223,196,109,098
224,044,045,025
225,177,142,082
226,104,067,173
227,197,113,058
228,171,071,045
229,176,071,056
230,132,148,008
231,197,020,019
232,051,093,058
233,028,066,110
234,190,075,104
235,078,122,011
236,107,002,113
237,150,188,007
238,111,157,171
239,090,034,194
240,104,138,146
241,094,171,025
242,038,125,048
243,131,015,000
244,048,182,109
245,159,075,111
246,149,143,088
247,002,143,172
248,078,014,045
249,118,103,061
250,097,099,164
251,137,194,007
252,162,022,017
253,143,125,101
254,111,182,153
255,003,146,128
256,078,103,055
257,127,149,136
258,013,198,197
259,055,121,181
260,057,083,076
261,117,095,156
262,103,096,184
263,084,173,073
264,101,027,068
265,182,162,133
266,046,111,027
267,128,167,125
268,174,130,175
269,143,081,179
270,190,060,008
271,192,144,073
272,095,142,197
273,137,046,155
274,187,120,055
275,125,130,169
276,129,041,158
277,123,080,062
278,132,052,184
279,132,075,116
280,123,101,081
281,079,008,159
282,001,183,044
283,102,047,003
284,102,029,082
285,058,038,129
286,047,085,032
287,050,175,062
288,054,168,050
289,068,013,156
290,049,123,057
291,161,141,177
292,045,102,076
293,026,118,043
294,152,174,095
295,003,047,143
296,160,021,131
297,160,199,092
298,035,093,158
299,024,044,085
300,156,033,092
301,079,150,125
302,194,000,035
303,165,106,021
304,190,095,079
305,017,160,182
306,093,131,101
307,122,171,002
308,055,000,165
309,170,072,191
310,153,191,150
311,034,004,072
312,046,168,156
313,163,151,118
314,009,152,067
315,166,033,137
316,175,092,032
317,111,075,062
318,130,090,000
319,095,026,004
320,157,186,042
321,132,077,083
322,058,131,176
323,118,073,025
324,012,063,191
325,101,029,019
326,187,166,141
327,004,063,107
328,042,113,157
329,184,170,088
330,016,049,120
331,058,090,042
332,184,117,043
333,098,124,197
334,134,143,089
335,053,123,129
336,157,005,121
337,085,143,102
338,103,099,035
339,143,066,123
340,170,012,155
341,173,102,062
342,051,050,084
343,088,131,049
344,115,060,012
345,016,157,020
346,147,111,196
347,170,151,059
348,102,116,111
349,032,103,194
350,102,153,123
351,000,176,151
352,194,115,082
353,122,159,095
354,036,017,094
355,062,134,118
356,064,011,165
357,013,060,151
358,003,138,040
359,196,185,084
360,115,127,076
361,055,129,113
362,042,016,007
363,172,001,186
364,000,028,023
365,079,147,035
366,070,162,029
367,064,114,032
368,001,171,092
369,006,181,178
370,035,036,051
371,087,159,015
372,045,107,094
373,170,148,016
374,168,151,117
375,155,005,151
376,027,013,172
377,176,121,003
378,076,162,006
379,055,161,082
380,084,063,118
381,042,172,185
382,084,034,033
383,042,170,082
384,171,094,165
385,071,156,052
386,039,029,041
387,037,052,075
388,034,192,196
389,066,128,069
390,035,016,157
391,111,114,102
392,156,199,109
393,136,152,004
394,012,018,036
395,149,158,066
396,188,001,056
397,052,113,002
398,113,086,080
399,185,152,129
400,171,190,004
401,170,167,138
402,104,128,118
403,022,081,060
404,175,038,177
405,128,188,169
406,118,120,170
407,070,064,187
408,195,003,153
409,038,194,141
410,166,076,138
411,013,146,053
412,029,025,197
413,045,095,054
414,009,194,186
415,059,060,026
416,098,143,129
417,155,092,081
418,147,189,038
419,034,131,178
420,064,071,011
421,063,067,106
422,025,182,189
423,023,073,116
424,076,024,160
425,199,186,046
426,000,147,158
427,108,045,182
428,009,164,052
429,020,183,080
430,149,167,055
431,081,136,078
432,198,143,125
433,128,125,152
434,059,155,193
435,005,124,003
436,057,036,085
437,071,185,017
438,023,110,104
439,025,195,197
440,107,157,156
441,048,120,055
442,090,128,004
443,099,059,159
444,044,081,189
445,186,165,029
446,045,171,052
447,104,096,015
448,037,107,075
449,027,115,003
450,032,049,010
451,117,189,195
452,149,144,025
453,082,040,128
454,073,166,014
455,025,175,150
456,060,170,053
457,165,017,190
458,151,052,118
459,027,186,036
460,004,093,015
461,195,109,102
462,182,018,196
463,037,151,069
464,111,031,087
465,024,012,128
466,105,141,107
467,191,151,184
468,045,187,186
469,064,062,188
470,088,004,151
471,083,015,054
472,151,028,019
473,042,006,075
474,011,063,016
475,072,004,079
476,148,133,082
477,010,199,105
478,033,035,058
479,050,199,097
480,033,187,007
481,041,127,097
482,159,142,123
483,003,097,181
484,088,083,077
485,133,175,170
486,173,121,123
487,153,129,068
488,118,091,171
489,060,041,040
490,009,105,125
491,122,137,094
492,009,051,015
493,160,045,143
494,037,046,118
495,082,138,071
496,062,162,018
497,160,110,106
498,055,054,137
499,147,106,035
500,138,047,147
501,065,188,021
502,191,197,003
503,017,013,095
504,010,119,011
505,001,164,133
506,098,012,167
507,168,102,041
508,130,137,000
509,082,179,071
510,020,043,196
511,081,175,020
512,067,160,187
513,073,141,114
514,155,019,069
515,170,086,082
516,167,143,092
517,176,185,167
518,032,006,082
519,012,003,020
520,025,162,039
521,136,057,072
522,006,115,156
523,029,040,055
524,189,087,015
525,169,105,089
526,072,132,167
527,058,119,063
528,101,119,130
529,095,018,179
530,185,172,167
531,073,182,021
532,064,087,021
533,059,140,167
534,109,118,121
535,161,003,038
536,070,095,130
537,113,019,087
538,140,164,034
539,038,074,121
540,014,140,072
541,153,163,093
542,041,081,148
543,077,148,178
544,189,019,178
545,019,036,020
546,052,162,199
547,046,130,111
548,019,106,038
549,184,036,042
550,186,085,167
551,193,159,160
552,175,032,185
553,176,098,116
554,177,099,137
555,096,009,133
556,104,190,031
557,084,074,120
558,058,047,044
559,001,032,169
560,164,108,110
561,088,115,042
562,075,060,013
563,129,199,034
564,075,011,133
565,156,191,035
566,118,137,107
567,061,043,027
568,061,141,196
569,197,094,188
570,105,052,116
571,142,137,048
572,162,156,055
573,125,085,028
574,148,019,064
575,151,074,079
576,159,141,062
577,196,024,175
578,198,151,027
579,028,177,032
580,159,050,197
581,073,185,176
582,023,128,004
583,161,060,156
584,122,187,194
585,004,171,067
586,062,197,019
587,170,090,123
588,124,039,002
589,144,129,111
590,196,074,079
591,077,099,072
592,096,057,055
593,101,143,134
594,004,143,042
595,173,136,011
596,054,105,183
597,127,131,094
598,123,140,034
599,102,192,156
600,098,016,102
601,109,079,169
602,165,117,184
603,018,035,062
604,174,086,055
605,102,023,104
606,120,133,053
607,110,055,023
608,129,061,158
609,009,114,063
610,054,150,068
611,188,148,008
612,054,152,064
613,048,069,065
614,029,102,119
615,010,196,194
616,182,095,046
617,134,057,122
618,033,016,089
619,076,140,131
620,181,021,123
621,032,181,120
622,152,150,098
623,065,164,133
624,025,197,101
625,136,119,013
626,198,006,028
627,062,171,185
628,109,044,064
629,098,026,027
630,082,029,096
631,105,094,142
632,190,014,197
633,119,117,103
634,007,072,162
635,007,092,021
636,048,031,080
637,014,107,191
638,000,137,093
639,123,158,176
640,119,072,181
641,022,141,047
642,169,184,119
643,124,046,142
644,133,001,175
645,191,125,032
646,199,110,083
647,084,142,085
648,163,175,062
649,092,022,065
650,085,022,069
651,113,007,045
652,085,118,024
653,005,050,070
654,104,080,002
655,064,151,000
656,071,057,181
657,048,039,004
658,014,101,077
659,084,165,020
660,092,005,123
661,071,058,158
662,018,064,106
663,071,097,137
664,157,175,013
665,131,144,031
666,042,024,199
667,185,091,072
668,177,064,026
669,185,186,031
670,088,012,096
671,004,058,079
672,008,191,050
673,035,081,001
674,185,175,096
675,031,188,033
676,073,123,192
677,143,011,189
678,159,012,010
679,015,019,184
680,032,104,078
681,120,098,143
682,097,084,028
683,087,053,155
684,191,077,104
685,165,194,068
686,089,035,115
687,166,147,106
688,152,009,071
689,072,059,107
690,094,079,042
691,103,033,158
692,167,074,095
693,190,044,137
694,168,085,044
695,003,142,193
696,146,150,198
697,040,127,026
698,129,031,188
699,174,069,142
700,127,088,025
701,020,155,115
702,167,113,115
703,077,170,159
704,024,057,085
705,151,132,138
706,081,053,128
707,183,197,098
708,192,098,134
709,192,189,123
710,071,099,026
711,120,081,026
712,054,089,076
713,071,012,002
714,196,098,171
715,016,063,130
716,097,167,196
717,110,131,045
718,146,177,087
719,034,062,014
720,023,152,192
721,007,032,029
722,103,190,165
723,156,131,078
724,165,150,160
725,168,098,103
726,127,197,081
727,050,099,023
728,119,194,195
729,063,148,114
730,068,160,157
731,103,072,178
732,153,121,006
733,172,194,177
734,032,138,122
735,144,111,084
736,013,113,071
737,009,029,124
738,086,006,060
739,065,124,046
740,044,068,017
741,193,103,036
742,099,081,142
743,149,105,197
744,168,044,098
745,170,127,000
746,127,006,151
747,117,194,103
748,069,025,048
749,012,058,182
750,118,056,184
751,136,143,188
752,184,140,012
753,161,002,044
754,138,014,134
755,071,125,014
756,035,156,178
757,130,009,172
758,031,121,010
759,053,046,156
760,034,107,062
761,068,088,106
762,070,167,137
763,060,182,067
